YEAR,DOY,swv_dwn,lwv_dwn,T2M,T2MN,T2MX,RH2M,RAIN,WS10M
2001,144,14.51,33.12,20.34,13.95,26.08,50.13,1.53,2.07
2001,145,24.12,29.27,19.50,13.03,25.76,50.16,0.00,2.55
2001,146,23.54,31.75,19.52,10.54,25.76,56.11,2.84,2.06
2001,147,21.06,31.14,19.42,12.15,26.22,61.33,2.87,2.28
2001,148,26.35,30.56,21.66,13.01,29.59,53.62,0.45,2.22
2001,149,28.30,28.87,21.66,15.40,28.02,53.41,0.00,2.42
2001,150,26.42,30.35,21.88,14.33,28.27,47.63,0.00,1.64
2001,151,25.42,29.12,18.47,14.36,22.19,45.06,0.00,4.33
2001,152,19.48,28.26,15.35,7.83,20.89,51.89,0.00,3.33
2001,153,10.40,30.02,15.06,12.39,18.21,65.50,3.20,5.38
2001,154,22.75,26.35,13.24,9.32,17.69,47.05,0.00,4.99
2001,155,28.76,23.80,12.88,2.90,20.91,45.62,0.00,1.78
2001,156,22.50,27.79,17.64,7.28,26.68,39.56,0.00,2.16
2001,157,16.09,30.49,17.02,12.97,20.55,63.62,0.63,4.26
2001,158,14.80,29.95,16.77,14.54,20.12,56.28,0.00,4.89
2001,159,9.61,29.12,12.90,9.73,15.03,79.49,9.50,1.31
2001,160,16.38,29.74,13.34,7.52,18.29,60.04,6.81,1.64
2001,161,22.39,26.60,13.28,9.31,17.19,55.95,0.00,3.19
2001,162,23.36,25.88,13.25,6.81,20.06,53.91,0.00,3.26
2001,163,25.78,27.79,15.67,6.74,23.23,45.51,0.51,1.56
2001,164,18.79,29.41,17.36,12.23,22.63,52.94,9.15,1.18
2001,165,23.36,29.48,16.85,8.55,25.11,56.43,2.99,1.31
2001,166,7.49,30.24,18.46,14.96,22.38,62.10,1.92,3.14
2001,167,19.80,30.20,16.33,12.17,21.38,70.95,0.00,5.71
2001,168,15.37,31.28,15.14,13.11,18.10,76.67,0.00,4.70
2001,169,17.17,29.92,13.62,9.53,18.04,69.72,0.00,3.52
2001,170,29.30,26.89,14.41,7.00,20.74,57.36,0.00,2.35
2001,171,31.21,26.17,17.54,7.97,25.96,41.66,0.00,1.57
2001,172,26.93,29.27,19.08,10.09,25.61,53.82,0.00,2.67
2001,173,27.54,29.48,18.27,10.99,24.40,53.63,0.00,1.72
2001,174,29.88,27.50,19.71,12.98,28.78,43.30,0.00,1.61
