#id,"observation_model,time,variable1,value1,variable2value2"
280,"280,MS,281,MS,6934.709232,Qsol,558.564941667"
281,"281,MS,282,MS,7006.82956577,Qsol,564.649166053"
282,"282,MS,283,MS,7042.43809642,Qsol,570.402200002"
283,"283,MS,284,MS,7094.44379359,Qsol,574.06672432"
284,"284,MS,285,MS,7150.28870448,Qsol,577.249120019"
285,"285,MS,286,MS,7189.96853151,Qsol,580.764450922"
286,"286,MS,287,MS,7226.97588332,Qsol,585.085958655"
287,"287,MS,288,MS,7254.49934373,Qsol,588.694430415"
288,"288,MS,289,MS,7304.89776259,Qsol,591.898687469"
289,"289,MS,290,MS,7358.86040555,Qsol,594.360350901"
290,"290,MS,291,MS,7410.57842223,Qsol,596.730621541"
291,"291,MS,292,MS,7484.58982951,Qsol,599.144467569"
292,"292,MS,293,MS,7558.7269474,Qsol,602.566585566"
293,"293,MS,294,MS,7629.42408035,Qsol,607.754592776"
294,"294,MS,295,MS,7695.47815678,Qsol,614.764168876"
295,"295,MS,296,MS,7742.50651098,Qsol,624.166350838"
296,"296,MS,297,MS,7787.43866206,Qsol,628.778970092"
297,"297,MS,298,MS,7851.18595617,Qsol,632.62995098"
298,"298,MS,299,MS,7886.90348959,Qsol,637.750260686"
299,"299,MS,300,MS,7925.8859383,Qsol,641.894873141"
300,"300,MS,301,MS,7964.86183773,Qsol,645.928392302"
301,"301,MS,302,MS,8022.61094979,Qsol,650.713297864"
302,"302,MS,303,MS,8078.61867465,Qsol,656.743752922"
303,"303,MS,304,MS,8129.80449685,Qsol,663.773291559"
304,"304,MS,305,MS,8182.77127807,Qsol,672.798954204"
305,"305,MS,306,MS,8228.65985506,Qsol,684.402637662"
306,"306,MS,307,MS,8266.89912759,Qsol,695.968455382"
307,"307,MS,308,MS,8305.42318706,Qsol,702.050572615"
308,"308,MS,309,MS,8365.48225869,Qsol,706.499741531"
309,"309,MS,310,MS,8411.96099168,Qsol,710.631609397"
